NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
01178,"SOUR CREAM,REDUCED FAT",71,181,7,14.1,0.9,7,0,0.3,141,0.06,11,85,211,70,0.27,0.01,,4.1,0.9,0.04,0.24,0.07,,0.02,11,0,11,11,19.2,0.3,436,119,117,0,27,0,0,0,0.4,0.3,10,0.7,8.7,4.1,0.5,35,12,1 tablespoon,230,1 cup,0
01179,"SOUR CREAM,LIGHT",78.1,136,3.5,10.6,0.7,7.1,0,0.22,141,0.07,10,71,212,83,0.5,0.016,,3.1,0.9,0.04,0.12,0.07,,0.02,11,0,11,11,19.2,0.42,328,90,88,0,21,0,0,0,0.3,0.2,8,0.5,6.6,3.1,0.4,35,12,1 tablespoon,230,1 cup,0
01180,"SOUR CREAM,FAT FREE",80.6,74,3.1,0,0.7,15.6,0,0.39,125,0,10,95,129,141,0.5,0.016,,5.3,0,0.04,0.15,0.07,,0.02,11,0,11,11,19.2,0.3,255,73,72,0,9,0,0,0,0,0,0,0,0,0,0,9,12,1 tablespoon,230,1 cup,0
01182,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",48.2,282,27.2,18.3,4.3,2,0,0.58,905,0.13,35,583,93,725,4.3,0.021,,15.5,0,0.03,0.3,0.06,,0.084,20,0,20,20,15.4,1.66,633,150,142,0,95,0,0,0,0.16,0.3,13,1.5,11.58,5.02,0.75,56,113,"1 cup, shredded",,,0
01184,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",87.43,43,3.86,0.18,1,7.5,0,7.5,143,0.12,13,109,177,59,0.67,0.079,,3.1,1.1,0.034,0.162,0.086,,0.037,8,0,8,8,15.2,0.43,6,2,2,0,0,0,0,0,0,0,0,0,0.116,0.049,0.005,2,170,"1 container,  (6 oz)",,,0
01185,"PARMESAN CHS TOPPING,FAT FREE",8.6,370,40,5,6.4,40,0,1.5,800,5,40,700,600,1150,3,0.02,,43.3,0,0.05,0.05,0.2,,0.1,25,0,25,25,15.4,1.1,151,40,39,0,13,0,0,0,0.04,0,0,0.4,3.11,1.446,0.186,20,5,1 tablespoon,,,0
01186,"CHEESE,CREAM,FAT FREE",71.87,105,15.69,1,3.77,7.66,0,5.48,351,0.19,22,523,278,702,1.5,0.036,0.017,4.9,0,0.04,0.265,0.23,0.84,0.05,35,0,35,35,65.2,0.95,53,11,10,0,11,0,0,0,0.02,0,0,0.2,0.644,0.25,0.057,12,18,1 tbsp,,,0
01187,"YOGURT,CHOC,NONFAT MILK",71.57,112,3.53,0,1.37,23.53,1.2,14.97,88,0.42,40,166,339,135,1.13,0.209,,7,0,0.047,0.215,0.223,,0.047,12,0,12,12,15.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,"1 container,  (6 oz)",,,0
01188,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,51.5,276,12,21,5.8,9.2,0.3,6.7,359,0.19,,806,240,1638,1.64,,,,0.4,,0.24,,,,,,,,,,649,,,,,,,,,,,,13.1,,,75,33,2 tbsp,,,0
01189,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,51.5,215,16.3,9.5,6.4,16.2,0.2,8.2,418,0.16,,943,297,1705,2.36,,,,0.4,,0.33,,,,,,,,,,628,,,,,,,,,,,,6.4,,,35,35,2 tbsp,,,0
01190,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,58,148,22.7,1,6.1,11.7,0.2,6.7,712,0.05,,923,236,1298,2.5,,,,0.2,,0.28,,,,,,,,,,2166,,,,,,,,,,,,0.7,,,16,21,1 slice,,,0
01191,KRAFT VELVEETA PAST PROCESS CHS SPRD,45.8,303,16.3,22,6,9.8,0,8.1,466,0.18,,863,335,1499,1.84,,,,0.2,,0.35,,,,,,,,,,1107,,,,,,,,,,,,14.4,,,80,28,1 oz,,,0
01192,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,51.3,222,19.6,10.6,6.6,11.8,0,8.5,574,0.14,,1024,345,1586,2.49,,,,0.1,,0.65,,,,,,,,,,982,,,,,,,,,,,,7.1,,,42,28,1 oz,,,0
01193,KRAFT BREAKSTONE'S RED FAT SOUR CRM,76.2,152,4.5,12,0.8,6.5,0.1,6.4,161,0.06,,110,210,59,,,,,1.1,,,,,,,,,,,,1053,,,,,,,,,,,,7.6,,,50,31,2 tbsp,,,0
01194,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,77.7,91,4.7,1.3,1.2,15.1,0,7.2,141,0.05,,116,219,72,,,,,1.2,,,,,,,,,,,,679,,,,,,,,,,,,0.8,,,9,32,2 tbsp,,,0
01199,"CREAM,HALF & HALF,FAT FREE",86,59,2.6,1.4,1,9,0,5,96,0,16,151,206,100,0.81,0.016,0.002,2.9,0.7,0.056,0.237,0.124,0.459,0.062,4,0,4,4,15,0.52,43,12,12,0,3,0,0,0,0.04,0,0,0.2,0.841,0.384,0.052,5,29,2 tbsp,484,1 pint,0
01200,REDDI WIP FAT FREE WHIPPED TOPPING,66.44,149,3,5,0.56,25,0.4,16,108,0.03,8,68,108,72,0.31,0.019,,3,0,0.148,0.619,0.364,,0.123,17,0,17,17,0,1.48,175,49,48,0,9,0,0,0,0.09,0,0,0.3,2.869,1.25,0.299,16,4,1 tablespoon,75,1 cup,0
01202,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",82.17,78,2.99,1.9,0.81,12.13,0.7,9.55,194,0.24,14,76,123,66,0.39,0.075,0.062,3.4,0,0.045,0.565,0.164,0.539,0.024,2,0,2,2,,0.33,227,64,63,0,11,0,0,0,0.04,,,0.2,1.177,0.455,0.089,8,250,1 cup,31.2,1 fl oz,0
01203,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",74.1,105,4.86,1.41,1.03,18.6,0,2.9,152,0.07,16,133,194,58,0.82,0.08,0.065,3.1,0.7,0.041,0.18,0.105,0.544,0.045,10,0,10,10,15.2,0.52,443,131,131,0,4,0,0,0,0.06,0,1,1.2,0.909,0.387,0.04,6,170,"1 container,  (6 oz)",245,"1 cup,  (8 fl oz)",0
01204,"CHEESE,PARMESAN,DRY GRATED,RED FAT",50.6,265,20,20,8.03,1.37,0,0,1109,0.9,38,729,125,1529,3.87,0.238,0.085,17.7,0,0.029,0.486,0.114,0.325,0.049,10,0,10,10,20.7,2.26,605,160,156,0,51,0,0,0,0.17,0.4,15,1.7,13.317,6.098,0.462,88,100,1 cup,5,1 tbsp,0
01205,"CREAM SUB,FLAV,LIQ",50.06,251,0.69,13.5,0.55,35.07,1.1,33.04,6,0.59,19,28,96,67,0.25,0.142,0.142,0.7,0,0.004,0.024,0.091,0.01,0.004,1,0,1,1,0.5,0,0,0,0,0,0,0,0,1,1.58,0,0,3.3,2.635,4.002,6.269,0,15,1 tbsp,,,0
01206,"CREAM SUB,FLAV,PDR",1.52,482,0.68,21.47,0.79,75.42,1.2,58.01,5,0.63,17,28,90,123,0.23,0.135,0.14,1.3,0,0.004,0.027,0.084,0.009,0.004,1,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0.41,0,0,9.1,19.446,0.618,0.229,0,12,4 tsp,,,0
01208,"CHEESE,PROVOLONE,RED FAT",50.6,274,24.7,17.6,3.6,3.5,0,0.55,756,0.52,28,496,138,615,3.23,0.026,0.01,14.5,0,0.019,0.321,0.156,0.476,0.073,10,0,10,10,12.9,1.46,532,141,137,0,45,0,0,0,0.15,0.3,13,1.5,11.3,4.89,0.51,55,132,"1 cup, diced",28.35,1 oz,0
01209,"CHEESE,MEXICAN,BLEND,RED FAT",48.2,282,24.69,19.4,4.3,3.41,0,0.56,1146,0.13,35,583,93,776,4.3,0.021,,15.5,0,0.03,0.3,0.06,,0.084,20,0,20,20,13.5,1.66,586,155,151,0,50,0,0,0,0.17,0.4,14,1.6,11.58,5.02,0.75,62,28.35,1 oz,28,.25 cup,0
01210,"EGG MIX,USDA CMDTY",2.78,555,35.6,34.5,3.15,23.97,,2.46,171,3.23,11,451,373,576,2.76,0.149,0.056,118,,0.19,1.277,0.267,6.5,0.207,138,0,138,138,602.5,2.9,398,117,116,0,0,13,0,,2.04,7.4,296,0.7,10.305,13.745,7.555,975,8.6,1 tbsp,105,1 cup,0
01211,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",88.13,61,3.15,3.27,0.67,4.78,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.373,0.036,5,0,5,5,14.3,0.45,162,46,45,0,7,0,0,0,0.07,0.1,2,0.3,1.865,0.812,0.195,10,244,1 cup,15,1 tbsp,0
01212,"MILK,DRY,WHL,WO/ ADDED VITAMIN D",2.47,496,26.32,26.71,6.08,38.42,0,38.42,912,0.47,85,776,1330,371,3.34,0.08,0.04,16.3,8.6,0.283,1.205,0.646,2.271,0.302,37,0,37,37,117.4,3.25,934,258,253,0,55,0,0,0,0.58,0.5,20,2.2,16.742,7.924,0.665,97,128,1 cup,32,.25 cup,0
01214,"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",74.04,135,6.81,7.56,1.55,10.04,0,10.04,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.638,0.05,8,0,8,8,31.3,0.16,239,65,64,0,15,0,0,0,0.16,0.1,6,0.6,4.591,2.335,0.245,29,252,1 cup,31.5,1 fl oz,0
